timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652708028680,245,Get All Activities Request,200,OK,Endurance Test Group 1-14,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,245,0,0
1652708028695,240,Get All Activities Request,200,OK,Endurance Test Group 1-6,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,240,0,0
1652708028703,245,Get All Activities Request,200,OK,Endurance Test Group 1-15,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,245,0,0
1652708028704,250,Get All Activities Request,200,OK,Endurance Test Group 1-10,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,250,0,0
1652708028719,240,Get All Activities Request,200,OK,Endurance Test Group 1-20,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,240,0,0
1652708028729,239,Get All Activities Request,200,OK,Endurance Test Group 1-16,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,239,0,0
1652708028786,248,Get All Activities Request,200,OK,Endurance Test Group 1-11,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,248,0,0
1652708028792,246,Get All Activities Request,200,OK,Endurance Test Group 1-18,text,true,,353,182,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=10,246,0,0
1652708028797,242,Get All Activities Request,200,OK,Endurance Test Group 1-12,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,242,0,0
1652708028797,243,Get All Activities Request,200,OK,Endurance Test Group 1-7,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,243,0,0
1652708028797,244,Get All Activities Request,200,OK,Endurance Test Group 1-17,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,244,0,0
1652708028806,241,Get All Activities Request,200,OK,Endurance Test Group 1-8,text,true,,350,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,241,0,0
1652708028813,245,Get All Activities Request,200,OK,Endurance Test Group 1-4,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,245,0,0
1652708028823,239,Get All Activities Request,200,OK,Endurance Test Group 1-9,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,239,0,0
1652708028823,239,Get All Activities Request,200,OK,Endurance Test Group 1-3,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,239,0,0
1652708028847,241,Get All Activities Request,200,OK,Endurance Test Group 1-1,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,241,0,0
